Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
6,Providence School,3.0,Phd,Miami,N/A,0,0,1,4,ML Engineer,11/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,Providence School,2.74,Masters,Miami,F,0,1,1,2,Lawyer,02/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,State Providence College,3.06,Phd,Los Angeles,F,0,0,1,2,Data scientist,01/22,02/22,N/A,N/A,N/A,N/A,N/A,N/A
9,Providence State University,3.41,Phd,Boston,F,N/A,1,N/A,3,Junior SWE,12/20,12/21,ML Engineer,01/20,09/20,Teaching Assistant,08/19,04/20
10,State Providence College,2.71,Phd,Chicago,F,N/A,0,1,4,Senior SWE,05/22,N/A,Lawyer,06/21,01/22,Lawyer,01/21,10/21
11,Providence University,2.71,Bachelors,Miami,M,1,0,0,1,ML Engineer,04/20,07/20,N/A,N/A,N/A,N/A,N/A,N/A
12,State Providence College,3.43,Bachelors,Providence,M,N/A,0,0,3,Data scientist,04/21,N/A,Lawyer,04/20,11/20,Research Assistant,10/19,09/20
13,Providence State University,3.11,Masters,Los Angeles,N/A,N/A,0,1,2,Lawyer,03/21,10/21,Senior SWE,09/20,10/20,N/A,N/A,N/A
14,Providence School,2.61,Masters,Los Angeles,F,N/A,1,0,3,Data scientist,12/22,05/23,Teaching Assistant,05/22,08/22,ML Engineer,12/21,03/22
15,Providence School,3.02,Masters,Chicago,F,1,1,0,0,Junior SWE,02/23,09/23,N/A,N/A,N/A,N/A,N/A,N/A
16,Providence School,2.61,Masters,Miami,F,0,1,N/A,0,Data scientist,11/20,N/A,Senior SWE,12/19,09/20,Research Assistant,08/19,05/20
17,Providence School,2.61,Phd,Boston,N/A,N/A,1,1,2,Data scientist,12/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,State Providence College,2.9,Masters,Chicago,F,0,1,0,3,Lawyer,09/23,06/24,Junior SWE,12/22,07/23,Teaching Assistant,09/22,10/22
19,Providence School,2.03,Bachelors,Miami,F,0,1,0,4,Lawyer,02/21,05/21,Data scientist,02/20,12/20,Teaching Assistant,09/19,03/20
20,Providence University,2.11,Bachelors,Providence,N/A,1,1,0,3,Lawyer,10/20,02/21,Senior SWE,04/20,08/20,Teaching Assistant,10/19,10/19
21,Providence School,2.58,Masters,Providence,F,1,1,1,1,ML Engineer,07/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,State Providence College,2.39,Phd,Boston,F,0,0,1,1,Junior SWE,01/20,N/A,Research Assistant,04/19,11/19,Data scientist,10/18,06/19
23,Providence State University,2.93,Phd,Chicago,N/A,N/A,1,N/A,1,Lawyer,01/23,02/23,Data scientist,02/22,09/22,Research Assistant,12/21,05/22
24,Providence School,2.44,Phd,Providence,M,N/A,0,N/A,0,Data scientist,02/20,07/20,Senior SWE,05/19,11/19,Senior SWE,11/18,05/19
25,Providence School,2.24,Masters,Chicago,M,0,1,0,3,Senior SWE,04/23,N/A,Research Assistant,05/22,03/23,Senior SWE,12/21,05/22
26,Providence University,3.39,Bachelors,Miami,M,0,1,N/A,0,Junior SWE,04/20,04/21,Research Assistant,08/19,12/19,Data scientist,11/18,04/19
27,Providence University,2.71,Masters,Providence,M,N/A,0,0,3,Senior SWE,09/22,N/A,ML Engineer,09/21,06/22,Senior SWE,03/21,09/21
28,State Providence College,2.83,Phd,Chicago,M,1,0,0,2,Data scientist,10/21,N/A,Research Assistant,01/21,06/21,Data scientist,10/20,02/21
29,Providence School,2.23,Bachelors,Boston,M,N/A,0,1,4,Senior SWE,01/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,Providence State University,2.58,Phd,Miami,M,N/A,0,N/A,2,Data scientist,09/20,05/21,ML Engineer,11/19,07/20,Teaching Assistant,09/19,12/19
31,Providence State University,2.84,Masters,Los Angeles,N/A,1,1,0,4,Data scientist,04/21,09/21,Junior SWE,06/20,01/21,Junior SWE,02/20,07/20
32,Providence School,2.34,Phd,Chicago,F,0,1,1,0,Senior SWE,12/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,Providence University,2.95,Masters,Miami,F,N/A,1,1,2,Data scientist,11/21,11/22,Teaching Assistant,12/20,10/21,Research Assistant,05/20,03/21
34,State Providence College,2.56,Masters,Chicago,N/A,0,0,N/A,1,Senior SWE,12/23,N/A,Research Assistant,02/23,11/23,Lawyer,12/22,12/22
35,Providence School,2.68,Phd,Providence,N/A,0,1,N/A,0,ML Engineer,09/22,N/A,Junior SWE,02/22,08/22,Teaching Assistant,08/21,11/21
36,Providence School,2.56,Bachelors,Los Angeles,N/A,1,0,1,3,Junior SWE,07/22,N/A,Data scientist,07/21,03/22,Lawyer,06/21,11/21
37,Providence University,3.54,Masters,Chicago,N/A,N/A,0,N/A,0,Junior SWE,04/21,N/A,Senior SWE,04/20,11/20,N/A,N/A,N/A
38,Providence School,2.79,Masters,Providence,F,1,0,0,1,Data scientist,08/22,09/22,Research Assistant,10/21,05/22,Teaching Assistant,04/21,02/22
39,State Providence College,2.38,Phd,Chicago,N/A,0,0,1,1,Lawyer,10/21,03/22,Lawyer,10/20,09/21,ML Engineer,04/20,02/21
40,Providence State University,3.13,Masters,Miami,N/A,N/A,1,N/A,3,Data scientist,05/22,12/22,Junior SWE,05/21,02/22,Senior SWE,01/21,05/21
41,Providence State University,2.31,Phd,Boston,N/A,N/A,0,1,2,Junior SWE,01/20,09/20,Lawyer,07/19,12/19,ML Engineer,01/19,03/19
42,State Providence College,2.88,Phd,Miami,M,N/A,1,N/A,1,ML Engineer,03/20,02/21,Research Assistant,09/19,11/19,Junior SWE,02/19,05/19
43,Providence State University,2.02,Phd,Los Angeles,F,N/A,1,N/A,1,Senior SWE,12/22,N/A,Lawyer,04/22,08/22,Lawyer,09/21,12/21
44,Providence School,2.27,Phd,Boston,F,1,1,0,0,Lawyer,07/23,07/24,Research Assistant,08/22,04/23,Research Assistant,02/22,10/22
45,State Providence College,2.88,Bachelors,Providence,F,0,0,N/A,1,Senior SWE,06/22,11/22,Senior SWE,06/21,02/22,Teaching Assistant,12/20,08/21
46,Providence University,3.1,Bachelors,Los Angeles,M,N/A,1,1,3,Junior SWE,05/20,09/20,Data scientist,07/19,12/19,Research Assistant,03/19,11/19
47,Providence University,2.87,Masters,Chicago,M,1,1,1,1,ML Engineer,03/22,07/22,Senior SWE,05/21,10/21,Junior SWE,01/21,05/21
48,Providence University,2.75,Phd,Los Angeles,N/A,1,1,N/A,3,Data scientist,04/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49,Providence University,2.68,Bachelors,Miami,F,N/A,1,0,0,ML Engineer,06/23,08/23,Junior SWE,11/22,05/23,Junior SWE,05/22,12/22
50,Providence School,2.21,Masters,Providence,N/A,1,0,1,4,Junior SWE,02/23,N/A,Lawyer,07/22,09/22,Senior SWE,09/21,06/22
51,Providence School,2.51,Bachelors,Boston,N/A,0,0,N/A,3,Senior SWE,02/22,01/23,Senior SWE,06/21,01/22,Junior SWE,02/21,08/21
52,Providence University,2.62,Bachelors,Providence,N/A,0,1,0,1,Lawyer,07/20,05/21,Research Assistant,12/19,04/20,Teaching Assistant,03/19,11/19
53,Providence School,3.22,Bachelors,Boston,N/A,0,0,0,2,ML Engineer,02/23,02/24,Senior SWE,04/22,11/22,Teaching Assistant,01/22,03/22
54,State Providence College,2.94,Phd,Miami,M,1,0,N/A,2,Data scientist,06/21,N/A,Senior SWE,12/20,04/21,Research Assistant,04/20,08/20
55,State Providence College,2.09,Phd,Miami,F,0,1,1,3,Lawyer,06/22,02/23,Junior SWE,07/21,04/22,Research Assistant,12/20,06/21
56,State Providence College,2.93,Bachelors,Boston,M,1,1,N/A,2,Data scientist,10/21,01/22,Data scientist,12/20,05/21,Lawyer,05/20,01/21
57,Providence University,2.65,Bachelors,Providence,M,1,0,0,3,Lawyer,05/22,N/A,Teaching Assistant,08/21,01/22,Teaching Assistant,11/20,08/21
58,Providence University,2.53,Bachelors,Miami,M,0,0,N/A,1,Senior SWE,01/20,N/A,Senior SWE,01/19,11/19,ML Engineer,07/18,02/19
59,Providence University,3.04,Masters,Boston,N/A,0,0,N/A,0,ML Engineer,12/20,N/A,Junior SWE,12/19,11/20,Lawyer,11/19,12/19
60,Providence School,3.21,Bachelors,Miami,N/A,1,1,N/A,0,Data scientist,08/21,01/22,Lawyer,09/20,06/21,Senior SWE,04/20,10/20
61,Providence State University,3.17,Bachelors,Providence,F,0,0,1,1,Senior SWE,09/20,05/21,Research Assistant,11/19,05/20,Lawyer,07/19,01/20
62,Providence State University,2.46,Masters,Los Angeles,N/A,1,0,1,0,Senior SWE,02/20,01/21,N/A,N/A,N/A,N/A,N/A,N/A
63,Providence School,2.68,Masters,Boston,M,N/A,1,1,1,ML Engineer,07/20,08/20,Teaching Assistant,09/19,05/20,Data scientist,04/19,12/19
64,Providence University,2.93,Bachelors,Boston,M,N/A,0,N/A,4,Junior SWE,02/21,05/21,ML Engineer,03/20,09/20,Research Assistant,08/19,03/20
65,Providence University,3.19,Phd,Los Angeles,F,N/A,1,0,0,Lawyer,09/20,05/21,Teaching Assistant,02/20,05/20,ML Engineer,03/19,12/19
66,Providence School,2.61,Phd,Chicago,F,0,0,1,3,ML Engineer,05/23,09/23,Research Assistant,11/22,01/23,Research Assistant,05/22,09/22
67,State Providence College,2.73,Masters,Miami,N/A,0,1,0,4,Lawyer,11/22,04/23,Teaching Assistant,01/22,08/22,Data scientist,11/21,04/22
68,State Providence College,2.36,Bachelors,Boston,M,1,1,1,1,Lawyer,10/23,02/24,Research Assistant,04/23,06/23,Data scientist,06/22,01/23
69,Providence School,2.32,Phd,Miami,N/A,0,1,1,4,Junior SWE,06/21,N/A,Junior SWE,09/20,02/21,N/A,N/A,N/A
70,Providence School,3.13,Phd,Providence,N/A,0,1,0,3,ML Engineer,10/21,N/A,ML Engineer,01/21,09/21,Teaching Assistant,06/20,03/21
71,State Providence College,3.34,Masters,Providence,M,N/A,1,1,4,ML Engineer,04/20,04/21,Senior SWE,04/19,03/20,Senior SWE,10/18,09/19
72,State Providence College,2.77,Masters,Boston,M,N/A,0,N/A,0,Data scientist,12/23,01/24,Senior SWE,02/23,08/23,Junior SWE,10/22,12/22
73,Providence State University,3.2,Bachelors,Boston,N/A,0,1,1,3,Data scientist,02/21,N/A,Teaching Assistant,08/20,11/20,Data scientist,10/19,04/20
74,Providence State University,2.94,Masters,Boston,F,0,0,N/A,3,Junior SWE,01/22,04/22,Junior SWE,02/21,12/21,Lawyer,12/20,04/21
75,Providence State University,2.54,Bachelors,Chicago,M,0,0,N/A,0,Lawyer,11/21,N/A,ML Engineer,02/21,07/21,Junior SWE,07/20,02/21
76,Providence University,2.94,Masters,Chicago,M,1,0,N/A,2,ML Engineer,04/23,06/23,Senior SWE,08/22,11/22,Lawyer,01/22,05/22
77,State Providence College,3.42,Masters,Providence,F,1,1,1,2,Data scientist,05/22,N/A,Lawyer,09/21,02/22,Research Assistant,11/20,08/21
78,Providence University,2.79,Phd,Miami,F,N/A,0,0,2,Senior SWE,02/22,04/22,Data scientist,05/21,11/21,Lawyer,10/20,02/21
79,Providence School,3.43,Phd,Miami,N/A,1,0,1,4,ML Engineer,04/20,N/A,Data scientist,08/19,01/20,Junior SWE,04/19,05/19
80,Providence University,1.75,Masters,Los Angeles,N/A,0,1,0,4,Data scientist,02/22,N/A,Senior SWE,06/21,12/21,Junior SWE,11/20,06/21
81,Providence University,3.13,Phd,Miami,M,N/A,0,1,2,Data scientist,07/20,N/A,ML Engineer,10/19,04/20,Teaching Assistant,01/19,11/19
82,Providence School,2.83,Masters,Providence,M,1,1,0,4,Junior SWE,05/20,04/21,N/A,N/A,N/A,N/A,N/A,N/A
83,Providence University,2.68,Phd,Chicago,F,0,0,0,3,Junior SWE,08/21,02/22,Senior SWE,09/20,04/21,Lawyer,03/20,08/20
84,Providence University,2.84,Masters,Los Angeles,N/A,0,0,N/A,3,Junior SWE,11/21,09/22,N/A,N/A,N/A,N/A,N/A,N/A
85,Providence State University,2.0,Phd,Chicago,M,1,0,N/A,1,Junior SWE,06/20,06/21,N/A,N/A,N/A,N/A,N/A,N/A
86,Providence School,2.71,Phd,Providence,F,0,0,0,2,Data scientist,03/23,N/A,Research Assistant,09/22,02/23,Senior SWE,09/21,09/22
87,Providence School,2.94,Bachelors,Miami,N/A,0,1,1,3,Senior SWE,06/20,N/A,Research Assistant,09/19,04/20,Teaching Assistant,12/18,11/19
88,Providence School,3.39,Bachelors,Miami,N/A,N/A,0,0,2,Lawyer,06/23,N/A,ML Engineer,12/22,03/23,ML Engineer,03/22,09/22
89,Providence School,2.59,Masters,Providence,N/A,1,0,0,2,ML Engineer,04/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
90,State Providence College,2.48,Phd,Los Angeles,M,1,1,0,0,Lawyer,11/22,07/23,Lawyer,12/21,08/22,N/A,N/A,N/A
91,State Providence College,2.6,Phd,Miami,F,N/A,1,1,4,Data scientist,05/22,N/A,ML Engineer,05/21,12/21,ML Engineer,05/21,07/21
92,Providence School,3.17,Bachelors,Chicago,N/A,N/A,1,0,0,ML Engineer,12/20,09/21,Senior SWE,02/20,10/20,Senior SWE,12/19,12/19
93,State Providence College,2.93,Phd,Miami,M,0,1,0,1,Senior SWE,11/23,09/24,Teaching Assistant,03/23,07/23,Teaching Assistant,09/22,12/22
94,Providence University,2.59,Phd,Providence,F,0,0,N/A,4,Data scientist,11/20,12/20,Lawyer,11/19,07/20,N/A,N/A,N/A
95,Providence State University,3.01,Masters,Providence,M,0,1,0,4,Data scientist,02/22,N/A,Junior SWE,08/21,12/21,Teaching Assistant,09/20,06/21
96,Providence State University,2.84,Phd,Providence,F,0,1,0,1,ML Engineer,10/21,N/A,Data scientist,01/21,08/21,Junior SWE,05/20,03/21
97,Providence University,3.19,Phd,Los Angeles,M,0,1,1,2,Senior SWE,11/22,03/23,Senior SWE,04/22,08/22,N/A,N/A,N/A
98,Providence State University,2.52,Masters,Los Angeles,M,N/A,1,0,1,Junior SWE,03/22,N/A,Senior SWE,08/21,12/21,Research Assistant,09/20,07/21
99,Providence University,2.67,Masters,Miami,N/A,1,1,0,0,Junior SWE,09/21,05/22,Senior SWE,01/21,08/21,Lawyer,07/20,09/20
100,Providence University,2.64,Masters,Miami,N/A,0,0,N/A,1,Junior SWE,12/23,N/A,Lawyer,12/22,07/23,ML Engineer,07/22,05/23
101,Providence State University,2.21,Bachelors,Chicago,N/A,1,1,1,4,ML Engineer,04/22,11/22,Junior SWE,06/21,11/21,N/A,N/A,N/A
102,Providence University,2.92,Masters,Boston,M,1,1,1,4,Junior SWE,03/23,04/23,Teaching Assistant,03/22,01/23,Lawyer,01/22,04/22
103,Providence State University,2.9,Phd,Boston,N/A,N/A,1,0,3,ML Engineer,08/21,08/22,ML Engineer,11/20,07/21,Teaching Assistant,05/20,02/21
104,Providence School,2.8,Phd,Providence,M,0,1,1,3,ML Engineer,07/21,N/A,Research Assistant,07/20,05/21,Senior SWE,02/20,08/20
105,Providence State University,2.71,Bachelors,Providence,N/A,0,1,N/A,4,ML Engineer,05/21,N/A,Junior SWE,07/20,01/21,N/A,N/A,N/A
106,Providence State University,2.23,Bachelors,Boston,F,N/A,0,1,0,Lawyer,11/20,N/A,Lawyer,02/20,07/20,Lawyer,06/19,11/19
107,Providence School,2.63,Phd,Providence,F,1,0,N/A,2,ML Engineer,12/23,03/24,Senior SWE,01/23,08/23,Teaching Assistant,12/22,05/23
108,Providence State University,2.66,Phd,Chicago,F,0,0,0,4,ML Engineer,09/20,N/A,Data scientist,10/19,06/20,Teaching Assistant,06/19,11/19
109,Providence University,2.48,Masters,Boston,N/A,1,1,1,2,Junior SWE,04/21,12/21,Senior SWE,07/20,11/20,Teaching Assistant,04/20,06/20
110,State Providence College,2.74,Bachelors,Boston,F,N/A,0,1,3,Senior SWE,11/22,03/23,ML Engineer,11/21,06/22,Senior SWE,10/21,04/22
111,Providence School,2.96,Masters,Miami,N/A,N/A,1,N/A,4,Senior SWE,06/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
112,Providence State University,3.55,Masters,Chicago,M,0,0,0,4,ML Engineer,01/22,03/22,Data scientist,02/21,11/21,Junior SWE,12/20,03/21
113,Providence School,2.87,Bachelors,Los Angeles,F,0,1,1,4,Senior SWE,04/20,04/21,Senior SWE,04/19,12/19,Senior SWE,03/19,08/19
114,Providence School,2.9,Bachelors,Chicago,F,1,0,1,2,Data scientist,01/23,N/A,Teaching Assistant,01/22,12/22,Senior SWE,09/21,05/22
115,Providence University,2.77,Masters,Los Angeles,M,1,1,N/A,1,Lawyer,06/22,N/A,Data scientist,10/21,03/22,Research Assistant,06/21,06/21
116,Providence University,2.03,Bachelors,Miami,F,1,1,N/A,4,Data scientist,07/20,04/21,N/A,N/A,N/A,N/A,N/A,N/A
117,Providence State University,2.79,Bachelors,Providence,F,N/A,0,N/A,4,Senior SWE,05/21,11/21,Research Assistant,11/20,02/21,ML Engineer,11/19,11/20
118,Providence State University,2.82,Masters,Boston,F,1,1,1,1,ML Engineer,02/21,03/21,Junior SWE,06/20,10/20,Teaching Assistant,01/20,08/20
119,Providence School,3.79,Phd,Chicago,N/A,0,1,1,4,Data scientist,04/23,08/23,Lawyer,06/22,02/23,Lawyer,01/22,07/22
120,Providence School,2.72,Bachelors,Miami,F,0,1,0,2,ML Engineer,10/23,N/A,Research Assistant,11/22,07/23,N/A,N/A,N/A
121,Providence School,2.92,Bachelors,Providence,F,0,0,N/A,3,Junior SWE,12/20,10/21,Senior SWE,04/20,08/20,ML Engineer,08/19,12/19
122,Providence University,2.79,Phd,Chicago,F,1,1,1,0,Junior SWE,06/21,N/A,ML Engineer,10/20,02/21,Teaching Assistant,06/20,09/20
123,Providence School,2.33,Bachelors,Providence,F,0,0,N/A,2,Junior SWE,04/22,N/A,Junior SWE,05/21,02/22,Data scientist,04/21,09/21
124,Providence State University,3.26,Phd,Boston,M,0,1,0,1,Data scientist,11/20,N/A,Research Assistant,05/20,06/20,Senior SWE,08/19,04/20
125,Providence State University,3.1,Masters,Boston,N/A,1,1,0,0,Lawyer,08/20,N/A,Senior SWE,10/19,05/20,Data scientist,05/19,12/19
126,State Providence College,3.12,Masters,Boston,M,N/A,1,N/A,1,Junior SWE,07/21,06/22,Junior SWE,11/20,03/21,Teaching Assistant,04/20,01/21
127,Providence School,2.44,Bachelors,Los Angeles,N/A,0,0,N/A,0,Senior SWE,11/23,10/24,Research Assistant,04/23,10/23,ML Engineer,07/22,04/23
